observation_distance,batch_size,gamma,eps_start,eps_end,eps_decay,tau,lr,memory_size,current
1,512,0.6,0.9,0.1,100000,0.0001,0.001,100000,0.271864067966017
1,512,0.6,0.9,0.1,100000,0.0001,0.01,100000,0.280359820089955
1,512,0.6,0.9,0.1,100000,0.0001,0.1,100000,0.28785607196401797
1,512,0.6,0.9,0.1,100000,0.01,0.001,100000,0.29535232383808097
1,512,0.6,0.9,0.1,100000,0.01,0.01,100000,0.3008495752123938
1,512,0.6,0.9,0.1,100000,0.01,0.1,100000,0.29235382308845576
1,512,0.6,0.9,0.1,600000,0.0001,0.001,100000,0.23138430784607697
1,512,0.6,0.9,0.1,600000,0.0001,0.01,100000,0.23288355822088955
1,512,0.6,0.9,0.1,600000,0.0001,0.1,100000,0.22438780609695153
1,512,0.6,0.9,0.1,600000,0.01,0.001,100000,0.23438280859570215
1,512,0.6,0.9,0.1,600000,0.01,0.01,100000,0.22438780609695153
1,512,0.6,0.9,0.1,600000,0.01,0.1,100000,0.22438780609695153
