observation_distance,batch_size,gamma,eps_start,eps_end,eps_decay,tau,lr,memory_size,current
1,512,0.3,0.9,0.1,5000,0.0001,0.1,1000000,0.5737131434282858
1,512,0.3,0.9,0.1,5000,0.0001,0.01,100000,0.5697151424287856
2,512,0.3,0.9,0.1,5000,0.01,0.001,1000,0.5692153923038481
1,512,0.6,0.9,0.1,5000,0.0001,0.01,100000,0.5687156421789106
1,512,0.999,0.9,0.1,5000,0.0001,0.001,100000,0.568215892053973
2,512,0.3,0.9,0.1,5000,0.0001,0.01,1000,0.5677161419290355
1,512,0.3,0.9,0.1,5000,0.0001,0.001,1000,0.5662168915542228
2,512,0.3,0.9,0.1,5000,0.01,0.001,1000000,0.5647176411794103
1,512,0.3,0.9,0.1,5000,0.0001,0.1,1000,0.5612193903048476
1,512,0.3,0.9,0.1,5000,0.0001,0.001,1000000,0.5612193903048476
2,512,0.999,0.9,0.1,5000,0.0001,0.001,100000,0.56071964017991
1,512,0.3,0.9,0.1,5000,0.0001,0.01,1000,0.5567216391804098
1,512,0.3,0.9,0.1,5000,0.01,0.001,100000,0.5562218890554723
2,512,0.6,0.9,0.1,5000,0.0001,0.01,100000,0.5547226386806596
2,512,0.999,0.9,0.1,5000,0.0001,0.01,100000,0.5537231384307846
2,512,0.3,0.9,0.1,5000,0.0001,0.001,1000000,0.5527236381809095
2,512,0.6,0.9,0.1,5000,0.01,0.01,100000,0.5527236381809095
2,512,0.3,0.9,0.1,5000,0.01,0.01,1000,0.5517241379310345
2,512,0.6,0.9,0.1,5000,0.01,0.1,100000,0.5517241379310345
2,512,0.3,0.9,0.1,5000,0.01,0.01,1000000,0.5502248875562219
2,512,0.6,0.9,0.1,5000,0.0001,0.001,100000,0.5502248875562219
1,512,0.3,0.9,0.1,5000,0.01,0.01,100000,0.5492253873063468
2,512,0.3,0.9,0.1,5000,0.0001,0.01,1000000,0.5487256371814093
1,512,0.6,0.9,0.1,5000,0.01,0.1,100000,0.5482258870564718
1,512,0.6,0.9,0.1,5000,0.0001,0.001,100000,0.5467266366816592
1,512,0.3,0.9,0.1,5000,0.01,0.1,100000,0.5407296351824088
1,512,0.6,0.9,0.1,5000,0.01,0.001,100000,0.5407296351824088
1,512,0.6,0.9,0.1,5000,0.0001,0.1,100000,0.5402298850574713
1,512,0.3,0.9,0.1,5000,0.0001,0.1,100000,0.5397301349325337
2,512,0.6,0.9,0.1,5000,0.01,0.001,100000,0.5397301349325337
1,512,0.6,0.9,0.1,5000,0.01,0.01,100000,0.5382308845577212
2,512,0.6,0.9,0.1,5000,0.0001,0.1,100000,0.5372313843078461
1,512,0.999,0.9,0.1,5000,0.0001,0.1,100000,0.5322338830584707
1,512,0.3,0.9,0.1,5000,0.0001,0.01,1000000,0.5317341329335332
2,512,0.3,0.9,0.1,5000,0.0001,0.001,1000,0.5297351324337831
2,512,0.3,0.9,0.1,5000,0.01,0.1,1000,0.5212393803098451
1,512,0.999,0.9,0.1,5000,0.0001,0.01,100000,0.5212393803098451
2,512,0.999,0.9,0.1,5000,0.0001,0.1,100000,0.5177411294352824
2,512,0.3,0.9,0.1,5000,0.0001,0.1,1000000,0.5152423788105946
2,512,0.999,0.9,0.1,5000,0.01,0.1,100000,0.5047476261869065
2,512,0.3,0.9,0.1,5000,0.01,0.1,1000000,0.5032483758120939
2,512,0.3,0.9,0.1,5000,0.0001,0.1,1000,0.4942528735632184
2,512,0.999,0.9,0.1,5000,0.01,0.001,100000,0.4257871064467766
1,512,0.999,0.9,0.1,5000,0.01,0.01,100000,0.4102948525737131
2,512,0.6,0.9,0.1,100000,0.0001,0.001,100000,0.3078460769615192
1,512,0.3,0.9,0.1,100000,0.01,0.01,100000,0.3043478260869565
2,512,0.6,0.9,0.1,100000,0.01,0.01,100000,0.3028485757121439
1,512,0.6,0.9,0.1,100000,0.01,0.01,100000,0.3008495752123938
2,512,0.999,0.9,0.1,100000,0.0001,0.01,100000,0.3003498250874563
2,512,0.3,0.9,0.1,100000,0.0001,0.001,1000000,0.2988505747126437
1,512,0.999,0.9,0.1,100000,0.0001,0.01,100000,0.2968515742128935
2,512,0.3,0.9,0.1,100000,0.01,0.001,1000,0.2958520739630185
1,512,0.6,0.9,0.1,100000,0.01,0.001,100000,0.2953523238380809
2,512,0.999,0.9,0.1,5000,0.01,0.01,100000,0.2953523238380809
2,512,0.3,0.9,0.1,100000,0.01,0.01,1000,0.2943528235882059
2,512,0.3,0.9,0.1,100000,0.0001,0.001,1000,0.2933533233383308
2,512,0.3,0.9,0.1,100000,0.0001,0.1,1000000,0.2928535732133933
2,512,0.3,0.9,0.1,100000,0.01,0.01,1000000,0.2928535732133933
1,512,0.6,0.9,0.1,100000,0.01,0.1,100000,0.2923538230884557
2,512,0.3,0.9,0.1,100000,0.01,0.001,1000000,0.2918540729635182
2,512,0.6,0.9,0.1,100000,0.01,0.001,100000,0.2893553223388306
2,512,0.999,0.9,0.1,100000,0.0001,0.001,100000,0.2888555722138931
1,512,0.3,0.9,0.1,100000,0.0001,0.1,100000,0.2883558220889555
1,512,0.999,0.9,0.1,100000,0.0001,0.1,100000,0.2883558220889555
1,512,0.6,0.9,0.1,100000,0.0001,0.1,100000,0.2878560719640179
1,512,0.3,0.9,0.1,100000,0.01,0.001,100000,0.2863568215892054
1,512,0.3,0.9,0.1,100000,0.0001,0.01,100000,0.2838580709645177
2,512,0.6,0.9,0.1,100000,0.0001,0.01,100000,0.2828585707146426
2,512,0.3,0.9,0.1,100000,0.0001,0.01,1000000,0.2823588205897051
1,512,0.3,0.9,0.1,100000,0.0001,0.001,100000,0.2818590704647676
2,512,0.3,0.9,0.1,100000,0.01,0.1,1000,0.2818590704647676
1,512,0.999,0.9,0.1,100000,0.0001,0.001,100000,0.2818590704647676
1,512,0.6,0.9,0.1,100000,0.0001,0.01,100000,0.280359820089955
2,512,0.999,0.9,0.1,100000,0.01,0.1,100000,0.2763618190904547
2,512,0.3,0.9,0.1,100000,0.0001,0.01,1000,0.2763618190904547
1,512,0.3,0.9,0.1,100000,0.01,0.1,100000,0.2738630684657671
1,512,0.6,0.9,0.1,100000,0.0001,0.001,100000,0.271864067966017
2,512,0.3,0.9,0.1,100000,0.0001,0.1,1000,0.271864067966017
2,512,0.6,0.9,0.1,100000,0.01,0.1,100000,0.271864067966017
2,512,0.3,0.9,0.1,100000,0.01,0.1,1000000,0.2693653173413293
2,512,0.999,0.9,0.1,100000,0.01,0.001,100000,0.2598700649675162
