t,C,C*t
1,0.25,0.25
2,0.108804,0.217609
3,0.0537988,0.161396
4,0.0291986,0.116794
5,0.0179822,0.0899109
6,0.0119012,0.0714075
7,0.00814209,0.0569946
8,0.00590393,0.0472314
9,0.00460022,0.041402
10,0.00339722,0.0339722
11,0.00288208,0.0317029
12,0.00236023,0.0283228
13,0.00200134,0.0260175
14,0.00177185,0.0248059
15,0.00141418,0.0212128
16,0.00113159,0.0181055
17,0.000880737,0.0149725
18,0.000974121,0.0175342
19,0.000651855,0.0123853
20,0.000768433,0.0153687
21,0.000445557,0.00935669
22,0.000272217,0.00598877
23,0.000300903,0.00692078
24,0.000288696,0.00692871
25,0.00026001,0.00650024
26,0.000261841,0.00680786
27,4.08936e-05,0.00110413
28,0.000461426,0.0129199
29,0.000328979,0.00954041
30,0.000352783,0.0105835
31,8.72803e-05,0.00270569
32,0.000130005,0.00416016
33,0.00015564,0.00513611
34,0.000311279,0.0105835
35,0.000257568,0.00901489
36,-2.44141e-05,-0.000878906
37,0.000175781,0.00650391
38,0.000211182,0.0080249
39,0.000452271,0.0176385
40,0.000319214,0.0127686
41,0.000325928,0.013363
42,0.000401001,0.016842
43,0.00038208,0.0164294
44,0.000430908,0.01896
45,0.000316162,0.0142273
46,0.000195923,0.00901245
47,0.00076355,0.0358868
48,0.000464478,0.0222949
49,0.000266113,0.0130396
50,0.000248413,0.0124207
51,0.000251465,0.0128247
52,0.000274048,0.0142505
53,0.000145874,0.00773132
54,0.000100098,0.00540527
55,-5.61523e-05,-0.00308838
56,8.8501e-05,0.00495605
57,0.000411987,0.0234833
58,0.000220337,0.0127795
59,0.000360107,0.0212463
60,2.01416e-05,0.0012085
61,-0.000175781,-0.0107227
62,-1.52588e-05,-0.000946045
63,0.000219116,0.0138043
64,0.000338135,0.0216406
65,9.46045e-05,0.00614929
66,7.50732e-05,0.00495483
67,5.5542e-05,0.00372131
68,1.89209e-05,0.00128662
69,1.52588e-05,0.00105286
70,-3.05176e-06,-0.000213623
71,5.49316e-06,0.000390015
72,6.34766e-05,0.00457031
73,0.000239868,0.0175104
74,0.000106812,0.00790405
75,-1.70898e-05,-0.00128174
76,0.000305786,0.0232397
77,0.000137939,0.0106213
78,0.000268555,0.0209473
79,0.000161133,0.0127295
80,1.52588e-05,0.0012207
81,1.2207e-05,0.00098877
82,3.479e-05,0.00285278
83,8.72803e-05,0.00724426
84,-7.32422e-05,-0.00615234
85,-0.000205078,-0.0174316
86,0.000133667,0.0114954
87,0.000123901,0.0107794
88,0.000272827,0.0240088
89,0.000162354,0.0144495
90,-1.40381e-05,-0.00126343
91,-0.000233765,-0.0212726
92,0.000184937,0.0170142
93,0.000201416,0.0187317
94,0.000216064,0.0203101
95,-1.15967e-05,-0.00110168
96,-0.000170288,-0.0163477
97,-0.000506592,-0.0491394
98,-0.000405884,-0.0397766
99,-0.000322876,-0.0319647
100,8.36182e-05,0.00836182
101,2.68555e-05,0.0027124
102,-0.000179443,-0.0183032
103,4.76074e-05,0.00490356
104,0.000187988,0.0195508
105,0.000124512,0.0130737
106,8.23975e-05,0.00873413
107,-0.000109863,-0.0117554
108,-0.000189819,-0.0205005
109,6.53076e-05,0.00711853
110,0.000166016,0.0182617
111,0.00019165,0.0212732
112,-6.71387e-06,-0.000751953
113,-1.83105e-05,-0.00206909
114,8.72803e-05,0.00994995
115,0.000146484,0.0168457
116,-0.000196533,-0.0227979
117,-0.000313721,-0.0367053
118,-8.42285e-05,-0.00993896
119,-5.18799e-05,-0.00617371
120,3.2959e-05,0.00395508
121,0.00046875,0.0567187
122,0.000172119,0.0209985
123,-2.50244e-05,-0.003078
124,-5.61523e-05,-0.00696289
125,-7.26318e-05,-0.00907898
126,-3.11279e-05,-0.00392212
127,-2.0752e-05,-0.0026355
128,-8.54492e-05,-0.0109375
129,-0.000128784,-0.0166132
130,3.90625e-05,0.00507813
131,0.000419312,0.0549298
132,0.000123291,0.0162744
133,0.000310059,0.0412378
134,0.000171509,0.0229822
135,-0.00020752,-0.0280151
136,0.000351562,0.0478125
137,-5.61523e-05,-0.00769287
138,0.000334473,0.0461572
139,0.000275269,0.0382623
140,8.11768e-05,0.0113647
141,-0.000274048,-0.0386407
142,0.000115356,0.0163806
143,-0.000195923,-0.028017
144,-7.14111e-05,-0.0102832
145,0.000231934,0.0336304
146,0.00012085,0.017644
147,-0.00019165,-0.0281726
148,-0.000221558,-0.0327905
149,7.44629e-05,0.011095
150,-7.50732e-05,-0.011261
151,-0.000409546,-0.0618414
152,-4.94385e-05,-0.00751465
153,0.000145874,0.0223187
154,0.000181274,0.0279163
155,0.00026001,0.0403015
156,-0.000112305,-0.0175195
157,0.000115356,0.018111
158,0.000323486,0.0511108
159,0.000166626,0.0264935
160,-0.000164185,-0.0262695
161,-4.45557e-05,-0.00717346
162,0.000148926,0.024126
163,0.000102539,0.0167139
164,-0.000301514,-0.0494482
165,-5.98145e-05,-0.00986938
166,-7.20215e-05,-0.0119556
167,-0.000182495,-0.0304767
168,-0.000282593,-0.0474756
169,0.00020813,0.035174
170,6.65283e-05,0.0113098
171,0.000187378,0.0320416
172,0.000352783,0.0606787
173,0.00015686,0.0271368
174,0.000267334,0.0465161
175,0.00017395,0.0304413
176,-9.27734e-05,-0.0163281
177,-0.000217285,-0.0384595
178,1.2207e-05,0.00217285
179,0.000103149,0.0184637
180,3.54004e-05,0.00637207
181,0.000233765,0.0423114
182,0.000338745,0.0616516
183,1.09863e-05,0.0020105
184,0.000131226,0.0241455
185,7.20215e-05,0.013324
186,0.000209961,0.0390527
187,0.000168457,0.0315015
188,-4.76074e-05,-0.0089502
189,-0.00043457,-0.0821338
190,-6.83594e-05,-0.0129883
191,-7.01904e-05,-0.0134064
192,-0.000186768,-0.0358594
193,-8.97217e-05,-0.0173163
194,4.3335e-05,0.00840698
195,-3.84521e-05,-0.00749817
196,2.92969e-05,0.00574219
197,0.000184937,0.0364325
198,0.000100098,0.0198193
199,0.000148315,0.0295148
200,0.0002771,0.0554199
201,0.000202026,0.0406073
202,-0.000113525,-0.0229321
203,-5.12695e-05,-0.0104077
204,-0.000203857,-0.0415869
205,-4.63867e-05,-0.00950928
206,6.16455e-05,0.012699
207,-7.8125e-05,-0.0161719
208,-0.000140991,-0.0293262
209,-0.000238037,-0.0497498
210,-9.46045e-05,-0.0198669
211,-0.00053894,-0.113716
212,-8.60596e-05,-0.0182446
213,-0.000269775,-0.0574622
214,-0.000115967,-0.0248169
215,0.000110474,0.0237518
216,-5.06592e-05,-0.0109424
217,-9.70459e-05,-0.021059
218,-5.61523e-05,-0.0122412
219,-5.49316e-05,-0.01203
220,-0.000490723,-0.107959
221,-0.000262451,-0.0580017
222,-0.000430908,-0.0956616
223,-4.57764e-05,-0.0102081
224,-6.7749e-05,-0.0151758
225,-0.000230103,-0.0517731
226,4.76074e-05,0.0107593
227,-3.90625e-05,-0.00886719
228,-0.000211182,-0.0481494
229,-7.75146e-05,-0.0177509
230,-3.54004e-05,-0.00814209
231,6.10352e-05,0.0140991
232,0.00024353,0.056499
233,0.000126343,0.0294379
234,-0.000339966,-0.079552
235,-6.40869e-05,-0.0150604
236,-7.26318e-05,-0.0171411
237,-0.000264282,-0.0626349
238,-0.000361328,-0.0859961
239,-0.000285034,-0.0681232
240,0.000187988,0.0451172
241,-1.2207e-05,-0.00294189
242,-0.000175171,-0.0423914
243,0.000369263,0.0897308
244,4.21143e-05,0.0102759
245,0.000131226,0.0321503
246,1.64795e-05,0.00405396
247,0.000117798,0.0290961
248,-0.000157471,-0.0390527
249,8.8501e-05,0.0220367
250,-0.000186157,-0.0465393
251,0.000151978,0.0381464
252,0.000386963,0.0975146
253,0.000165405,0.0418475
254,0.000375366,0.095343
255,8.97217e-05,0.022879
256,-0.000213013,-0.0545313
257,-7.8125e-05,-0.0200781
258,6.40869e-05,0.0165344
259,-0.000227661,-0.0589642
260,0.000162354,0.0422119
261,0.000103149,0.026922
262,0.000172119,0.0450952
263,-0.000120239,-0.0316229
264,0.000299683,0.0791162
265,6.28662e-05,0.0166595
266,-2.31934e-05,-0.00616943
267,-6.83594e-05,-0.018252
268,0.000150146,0.0402393
269,-0.000257568,-0.0692859
270,9.0332e-05,0.0243896
271,-1.2207e-05,-0.00330811
272,3.84521e-05,0.010459
273,0.000411377,0.112306
274,0.000179443,0.0491675
275,4.15039e-05,0.0114136
276,-0.000123291,-0.0340283
277,0.000228271,0.0632312
278,0.000238647,0.066344
279,0.000108032,0.030141
280,-2.99072e-05,-0.00837402
281,-0.000252686,-0.0710046
282,0.000163574,0.0461279
283,5.06592e-05,0.0143365
284,-0.000220947,-0.062749
285,-0.000317993,-0.0906281
286,-4.57764e-05,-0.013092
287,-0.000318604,-0.0914392
288,-0.000324707,-0.0935156
289,2.56348e-05,0.00740845
290,-0.000114136,-0.0330994
291,-0.00027832,-0.0809912
292,0.000158081,0.0461597
293,0.00012207,0.0357666
294,0.000241699,0.0710596
295,-0.000184326,-0.0543762
296,-6.5918e-05,-0.0195117
297,-3.479e-05,-0.0103326
298,-0.000333252,-0.0993091
299,-0.000145874,-0.0436163
300,-0.000162354,-0.0487061
301,-6.10352e-07,-0.000183716
302,9.15527e-05,0.0276489
303,-5.79834e-05,-0.017569
304,3.05176e-06,0.000927734
305,0.000239258,0.0729736
306,-1.15967e-05,-0.00354858
307,9.27734e-05,0.0284814
308,4.57764e-05,0.0140991
309,-2.99072e-05,-0.00924133
310,0.00020813,0.0645203
311,-2.01416e-05,-0.00626404
312,0.000137329,0.0428467
313,-1.28174e-05,-0.00401184
314,0.000131226,0.0412048
315,-5.18799e-05,-0.0163422
316,-3.35693e-05,-0.0106079
317,1.83105e-05,0.00580444
318,-0.000288086,-0.0916113
319,-7.62939e-05,-0.0243378
320,-0.000170898,-0.0546875
321,-3.2959e-05,-0.0105798
322,-9.0332e-05,-0.0290869
323,-9.76563e-06,-0.0031543
324,4.45557e-05,0.014436
325,-0.000160522,-0.0521698
326,-0.000212402,-0.0692432
327,-0.000223389,-0.0730481
328,-0.0002948,-0.0966943
329,-0.000470581,-0.154821
330,-0.000504761,-0.166571
331,-0.000568237,-0.188087
332,-0.000403442,-0.133943
333,0.000164795,0.0548767
334,-0.000113525,-0.0379175
335,-0.000187988,-0.0629761
336,2.68555e-05,0.00902344
337,-0.000126343,-0.0425775
338,-0.000193481,-0.0653967
339,-0.000128174,-0.0434509
340,-0.000106812,-0.0363159
341,-0.000211792,-0.0722211
342,0.000133057,0.0455054
343,1.58691e-05,0.00544312
344,-0.000335693,-0.115479
345,-9.82666e-05,-0.033902
346,-0.000115967,-0.0401245
347,7.75146e-05,0.0268976
348,8.97217e-05,0.0312231
349,0.000223999,0.0781757
350,0.000134277,0.0469971
351,0.000161743,0.0567719
352,0.000240479,0.0846484
353,-0.000178223,-0.0629126
354,-0.000107422,-0.0380273
355,-5.00488e-05,-0.0177673
356,-1.70898e-05,-0.00608398
357,6.46973e-05,0.0230969
358,6.5918e-05,0.0235986
359,-0.000229492,-0.0823877
360,0.000338135,0.121729
361,0.000547485,0.197642
362,0.000497437,0.180072
